"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"8",641576,"Flores Jr., Bernardo","8","100.0","1.000","0.000","1.000","1.000","0.788","0.584","0.426","1","1","99.0","18.0","2125","82.0","83.45","0","1","7","1.5","7.29","102","148","123","150","296","323","305"
"8",595411,"Sherriff, Ryan","8","100.0","1.000","0.500","1.000","1.500","1.068","0.284","0.304","2","2","100.9","-6.5","2086","92.1","91.81","1","3","5","-0.3","6.26","95","151","111","152","300","315","282"
"7",592464,"Kickham, Mike","7","100.0","0.500","0.000","1.000","0.500","0.442","0.221","0.243","1","2","99.2","3.0","2415","82.1","81.87","1","3","4","-0.2","6.27","119","153","126","152","302","320","292"
"7",453343,"Melancon, Mark","7","100.0","1.000","1.000","1.000","2.000","1.252","0.780","0.809","1","1","90.0","16.0","2284","92.0","91.91","0","2","5","-0.1","6.29","104","152","115","144","296","323","304"
"6",605155,"Brewer, Colten","6","100.0","0.000","0.000",,"0.000","0.346","0.346",,"0","1",,,"2724","81.1","80.23","1","1","5","-0.9","6.13","114","155","123","150","299","337","283"
"5",622110,"Duffy, Matt","5","100.0","0.000","0.000","0.000","0.000","0.000","0.067","0.061","0","1","71.7","-17.0","1704","76.7","75.42","0","1","4","-1.3","5.18","111","151","125","146","311","335","318"
"5",642162,"Valaika, Pat","5","100.0","0.000","0.000","0.000","0.000","0.000","0.185","0.171","0","4","80.8","-2.3","1664","65.8","50.30","0","4","1","-15.5","4.23","113","152","120","149","304","328","300"
"4",519203,"Rizzo, Anthony","4","100.0","0.000","0.000",,"0.000","0.000","0.000",,"0","1",,,"1795","58.4","57.73","1","1","3","-0.7","5.73","121","150","137","149","312","335","319"
"3",607468,"Blandino, Alex","3","100.0","0.000","0.000","0.000","0.000","0.000","0.113","0.126","0","1","77.1","-4.0","1131","73.9","26.00","0","1","2","-47.9","6.10","116","165","135","150","289","323","281"
"2",572761,"Carpenter, Matt","2","100.0","1.000","0.000","1.000","1.000","0.883","0.853","0.903","1","1","88.2","16.0","1696","52.4","50.60","0","1","1","-1.8","5.05","122","174","135","152","293","312","300"
"2",606213,"Mercedes, Yermín","2","100.0",,,,,,,,,,,,"1501","66.7","65.10","0","0","2","-1.6","4.95","126","147","125","153","275","327","307"
"1",594694,"Difo, Wilmer","1","100.0",,,,,,,,,,,,"2267","76.7","75.50","0","0","1","-1.2","5.20","120","168","151","151","315","334","310"
"1",664789,"Tom, Ka'ai","1","100.0",,,,,,,,,,,,"1533","57.7","56.50","0","0","1","-1.2","5.20","110","153","126","149","295","321","289"
"1",608686,"Mayfield, Jack","1","100.0",,,,,,,,,,,,"1333","54.4","52.30","0","0","1","-2.1","4.20","104","151","123","148","308","327","278"
